dataset,embedding,classifier,task,task_group,mode,metric,mean,ci_low,ci_high,fold_sd,draw_sd,delta_vs_per_radiograph_pp,n_radiographs,n_patients
mimic,biomedclip,logistic_regression,insurance,demographic,patient_balanced,roc,0.7523393107864034,0.7521467170672992,0.7525319045055076,0.0002692274548438206,,3.1845559777668786,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,per_radiograph,accuracy,0.6025631284350227,0.6024031137165928,0.6027231431534525,0.00022368515225103293,,0.0,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,per_radiograph,precision,0.4750800356903384,0.35988667434065846,0.5902733970400184,0.16102921546626903,,0.0,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,per_radiograph,recall,0.38551607352788164,0.3851686005033774,0.38586354655238586,0.0004857337946911522,,0.0,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,per_radiograph,f1,0.34416257526425137,0.3436372934836205,0.34468785704488225,0.0007342932964421973,,0.0,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,per_radiograph,roc,0.672686835409819,0.6722755637080043,0.6730981071116336,0.000574918195898878,,0.0,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,one_per_patient,accuracy,0.5760241394241177,0.5755374571868708,0.5765108216613646,0.0006803348554726385,0.0012999072289280342,-2.653898901090501,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,one_per_patient,precision,0.3872327865369401,0.3831115721039695,0.3913540009699107,0.005761060525831786,0.018745236908488706,-8.784724915339831,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,one_per_patient,recall,0.4258013506857843,0.4252537139835143,0.42634898738805427,0.0007655433220615699,0.0011460026855556439,4.028527715790265,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,one_per_patient,f1,0.38164426009814606,0.38100378588588407,0.38228473431040805,0.0008953212122515199,0.0012624964075197962,3.748168483389469,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,one_per_patient,roc,0.6973269579956343,0.6970772283073042,0.6975766876839643,0.00034909803238015297,0.0016505941908859863,2.464012258581527,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,patient_balanced,accuracy,0.5760125355351906,0.5755221002597156,0.5765029708106656,0.0006855812411532388,,-2.655059289983208,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,patient_balanced,precision,0.4837300809991003,0.3684722838909817,0.5989878781072189,0.16111929044548465,,0.86500453087619,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,patient_balanced,recall,0.4257988984137439,0.42524568940957697,0.42635210741791085,0.0007733328629890353,,4.0282824885862265,39483,9238
mimic,biomedclip,random_forest,insurance,demographic,patient_balanced,f1,0.3816497140819576,0.3810028849456779,0.38229654321823725,0.0009042047834654119,,3.7487138817706214,39483,9238
